gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,2,Yes,No,DSL,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,51.36,122.37,1
Male,0,Yes,No,40,Yes,Yes,DSL,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer,69.07,2760.04,0
Male,0,Yes,Yes,48,Yes,No,Fiber optic,Yes,No,No,Two year,Yes,Mailed check,93.81,4504.99,0
Male,0,Yes,No,38,Yes,No phone service,DSL,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,75.17,2860.58,1
Male,1,Yes,Yes,6,Yes,Yes,DSL,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,34.84,206.14,0
Male,1,Yes,Yes,35,Yes,Yes,DSL,No,Yes,No,One year,Yes,Credit card,50.82,1744.72,0
Male,0,No,Yes,0,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Electronic check,74.29,0.0,1
Female,0,No,No,10,Yes,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,18.0,187.11,1
Female,0,Yes,No,15,Yes,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,35.56,508.45,0
Male,0,Yes,Yes,54,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,No,Bank transfer,90.36,4905.79,0
Male,1,No,No,14,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer,29.16,411.85,1
Male,0,Yes,No,0,Yes,Yes,DSL,No internet service,No internet service,Yes,Two year,Yes,Mailed check,46.81,0.75,0
Female,0,Yes,No,13,Yes,No,DSL,Yes,No,Yes,One year,No,Mailed check,58.78,813.35,0
Male,0,Yes,No,20,Yes,No,Fiber optic,No,Yes,No,Two year,Yes,Credit card,99.38,1917.37,0
Male,0,No,No,72,Yes,No,DSL,No internet service,No,No,Two year,Yes,Bank transfer,47.67,3520.96,0
Male,0,No,No,72,Yes,No phone service,DSL,No,No,No,Month-to-month,Yes,Credit card,75.33,5314.65,0
Male,0,Yes,Yes,5,Yes,No,Fiber optic,No internet service,No,No,Two year,Yes,Credit card,82.94,487.25,1
Male,0,No,No,6,No,No,DSL,No,Yes,No,Month-to-month,Yes,Bank transfer,56.73,350.42,1
Male,0,No,Yes,5,Yes,Yes,DSL,No,No,No,Two year,Yes,Mailed check,40.0,173.81,0
Female,0,No,Yes,46,No,Yes,DSL,No,No,Yes,Two year,No,Credit card,56.24,2513.47,0
Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Credit card,70.78,0.0,0
Female,0,No,Yes,4,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,26.21,96.65,0
Male,0,No,Yes,23,Yes,No,DSL,No internet service,No,No,Month-to-month,No,Electronic check,35.96,836.84,1
Male,0,No,No,8,Yes,No,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Credit card,74.34,667.03,1
Female,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,No internet service,Two year,No,Electronic check,59.5,122.66,0
Male,1,Yes,Yes,13,Yes,Yes,DSL,No,No,No,Two year,Yes,Credit card,68.05,900.62,0
Male,0,No,Yes,9,Yes,Yes,No,Yes,No internet service,No,Month-to-month,No,Mailed check,33.52,319.21,0
Female,1,No,No,21,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Electronic check,64.94,1347.33,1
Female,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.47,3984.33,0
Male,0,Yes,Yes,3,Yes,No,Fiber optic,No,No internet service,No,Month-to-month,Yes,Electronic check,80.95,237.51,1
Female,1,No,Yes,13,Yes,No,DSL,No,Yes,No,Month-to-month,Yes,Electronic check,80.37,1076.12,1
Male,1,No,No,72,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,31.22,2201.85,0
Female,0,Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Two year,No,Bank transfer,69.73,4297.9,0
Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card,76.09,1159.21,0
Male,0,Yes,No,36,Yes,Yes,DSL,No,Yes,No,Month-to-month,No,Mailed check,48.14,1679.11,1
Male,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,One year,Yes,Mailed check,77.85,161.38,0
Female,0,No,No,37,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,62.09,2270.2,0
Male,1,Yes,Yes,72,Yes,No phone service,No,Yes,Yes,No internet service,Two year,Yes,Mailed check,52.66,3816.81,0
Female,0,No,No,23,Yes,No,DSL,Yes,Yes,Yes,Two year,Yes,Mailed check,75.81,1812.39,0
Male,0,No,No,20,Yes,Yes,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,76.19,1496.54,1
Female,0,Yes,No,6,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,30.54,221.1,1
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,64.32,1939.55,0
Male,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,Month-to-month,No,Electronic check,58.57,1503.55,1
Female,0,Yes,No,31,Yes,Yes,DSL,Yes,No internet service,No,Month-to-month,No,Bank transfer,68.2,2114.42,0
Male,0,No,Yes,0,Yes,No,DSL,Yes,Yes,No,One year,Yes,Electronic check,58.5,64.9,0
Female,0,Yes,Yes,23,Yes,No,DSL,No internet service,No internet service,No,Month-to-month,No,Credit card,56.63,1293.82,0
Male,0,Yes,No,27,Yes,No,DSL,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,46.61,1323.91,0
Male,1,Yes,Yes,6,Yes,No,DSL,Yes,No,Yes,Month-to-month,No,Credit card,43.66,255.94,0
Female,0,No,Yes,7,Yes,No,Fiber optic,No,No internet service,Yes,Two year,Yes,Credit card,104.94,663.98,0
Male,0,No,No,9,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,37.74,332.29,1
Male,0,Yes,No,37,Yes,No,DSL,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,53.24,1895.39,0
Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,Yes,Electronic check,97.35,2612.6,1
Female,0,No,No,56,Yes,No phone service,DSL,No internet service,No,No,Two year,Yes,Credit card,31.58,1750.65,0
Female,0,No,No,10,No,No phone service,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card,33.18,422.63,0
Female,0,Yes,No,72,Yes,Yes,No,No internet service,No,No internet service,One year,Yes,Credit card,37.71,2795.79,0
Female,0,No,No,40,Yes,No,Fiber optic,Yes,Yes,No internet service,One year,No,Mailed check,65.76,2634.8,0
Female,0,No,No,15,No,No phone service,Fiber optic,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer,69.8,1107.58,0
Female,0,No,No,3,Yes,Yes,DSL,No internet service,Yes,No,One year,No,Electronic check,56.47,149.51,0
Male,0,Yes,No,8,Yes,Yes,Fiber optic,No internet service,No,No,Month-to-month,Yes,Electronic check,59.68,406.09,1
Female,0,No,No,72,Yes,No,No,No internet service,No,No internet service,One year,Yes,Bank transfer,23.67,1730.99,0
Male,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,One year,No,Mailed check,84.85,951.43,0
Male,0,Yes,No,12,Yes,No phone service,Fiber optic,No internet service,No,Yes,Month-to-month,No,Credit card,80.75,922.14,1
Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,No,Electronic check,88.34,485.36,0
Male,1,No,Yes,49,Yes,Yes,Fiber optic,Yes,No,No internet service,Two year,Yes,Credit card,79.0,3918.2,0
Female,0,No,No,9,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,28.68,173.92,0
Male,0,Yes,No,12,Yes,No,DSL,No,No,Yes,Month-to-month,Yes,Credit card,56.54,706.35,1
Female,1,Yes,No,16,Yes,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,No,Credit card,64.93,1023.15,0
Female,0,No,No,17,Yes,Yes,Fiber optic,No internet service,No,No,One year,Yes,Credit card,89.7,1552.86,0
Male,1,Yes,No,15,No,Yes,DSL,Yes,No internet service,Yes,One year,No,Electronic check,63.9,1007.86,0
Male,0,Yes,Yes,21,No,No,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Credit card,69.69,1419.73,0
Male,0,Yes,Yes,50,Yes,No,DSL,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,41.6,2023.13,0
Female,0,Yes,Yes,51,Yes,No,DSL,Yes,No,No,Month-to-month,Yes,Electronic check,58.53,3058.27,0
Male,0,Yes,No,48,Yes,No,DSL,No,No,Yes,One year,Yes,Mailed check,65.25,3128.94,0
Male,0,Yes,No,3,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card,23.13,85.77,0
Female,1,No,No,48,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,25.42,1265.76,0
Male,1,No,No,3,Yes,No,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card,32.26,48.71,0
Female,0,No,Yes,3,Yes,No,Fiber optic,Yes,No,Yes,Two year,No,Bank transfer,64.42,238.37,0
Male,0,Yes,No,72,Yes,No,Fiber optic,No internet service,Yes,No,Month-to-month,Yes,Electronic check,63.78,4624.32,0
Female,0,No,No,51,Yes,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Credit card,53.44,2798.95,0
Male,0,Yes,Yes,24,Yes,No phone service,No,No,No,Yes,Month-to-month,Yes,Electronic check,30.14,795.93,1
Female,0,Yes,Yes,62,Yes,No phone service,No,No,Yes,Yes,Two year,No,Credit card,32.94,2045.75,0
Female,0,Yes,Yes,72,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,18.0,1333.65,0
Male,0,No,No,28,Yes,No,Fiber optic,No internet service,No,No internet service,Month-to-month,No,Mailed check,75.0,2102.37,0
Female,0,No,No,28,Yes,No,No,No,No,No,One year,No,Mailed check,34.1,961.93,0
Male,0,No,Yes,42,Yes,No,Fiber optic,Yes,Yes,Yes,Two year,Yes,Electronic check,68.05,2801.75,0
Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,One year,Yes,Mailed check,73.07,500.3,0
Male,1,No,No,5,No,Yes,DSL,Yes,Yes,Yes,Month-to-month,No,Electronic check,67.34,246.95,1
Female,0,No,Yes,42,Yes,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,No,Electronic check,54.88,2297.93,1
Female,1,No,No,12,Yes,Yes,DSL,No,No,No,Month-to-month,No,Electronic check,63.89,832.72,0
Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,No,Yes,Two year,Yes,Mailed check,96.3,424.11,0
Female,1,No,No,11,Yes,No,DSL,Yes,No,No,Two year,Yes,Credit card,46.79,520.3,0
Female,0,No,No,13,Yes,Yes,DSL,Yes,No internet service,Yes,One year,Yes,Mailed check,38.21,486.66,0
Female,0,No,No,72,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card,32.37,2303.85,0
Male,0,No,No,35,Yes,Yes,DSL,No,No,No,Month-to-month,Yes,Bank transfer,48.07,1636.65,1
Female,1,No,Yes,22,Yes,No,Fiber optic,No,No internet service,No,One year,Yes,Bank transfer,93.04,2087.83,0
Male,0,Yes,No,72,Yes,Yes,No,No,No internet service,No,Two year,Yes,Bank transfer,20.7,1413.32,0
Female,0,No,Yes,70,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,34.69,2350.64,0
Female,0,No,No,21,Yes,No phone service,Fiber optic,No,No internet service,No,One year,No,Bank transfer,68.4,1481.64,0
Female,0,Yes,No,70,Yes,Yes,DSL,No,Yes,Yes,One year,Yes,Electronic check,62.85,4409.87,0
Female,0,No,No,15,Yes,No,Fiber optic,No internet service,No,No internet service,Month-to-month,No,Credit card,69.46,1044.12,0
Male,0,No,No,7,Yes,No phone service,Fiber optic,Yes,No,No internet service,Month-to-month,No,Bank transfer,94.2,669.78,0
Male,0,No,Yes,7,Yes,Yes,DSL,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,64.36,551.02,0
Female,0,Yes,No,32,No,No,No,No,Yes,No,One year,Yes,Bank transfer,24.44,784.99,0
Female,0,Yes,Yes,20,Yes,No,Fiber optic,No,No internet service,No,Month-to-month,Yes,Electronic check,81.14,1637.43,0
Male,0,No,No,32,Yes,No,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,31.58,1113.58,0
Female,1,No,No,34,Yes,No phone service,No,No,Yes,No,One year,Yes,Electronic check,29.2,989.68,0
Female,0,Yes,Yes,0,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,40.36,86.32,1
Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,58.05,0.0,0
Male,1,Yes,Yes,22,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,No,Credit card,24.11,472.41,0
Male,0,No,No,6,Yes,No phone service,Fiber optic,No,No,No,One year,Yes,Electronic check,85.65,480.5,1
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,One year,No,Mailed check,75.04,2280.41,0
Female,0,Yes,Yes,24,Yes,No phone service,Fiber optic,Yes,No,No,Month-to-month,Yes,Bank transfer,100.82,2508.41,0
Female,0,No,No,26,Yes,Yes,Fiber optic,No,No internet service,No,One year,Yes,Electronic check,77.94,1996.88,0
Female,1,No,No,10,Yes,Yes,DSL,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,51.87,567.58,0
Female,1,Yes,Yes,30,Yes,No phone service,DSL,Yes,No,No internet service,Month-to-month,No,Electronic check,50.76,1634.59,1
Female,0,No,No,53,Yes,Yes,Fiber optic,Yes,Yes,Yes,One year,No,Electronic check,79.02,4266.42,0
Female,0,No,No,72,Yes,No,Fiber optic,No,No,No,One year,Yes,Mailed check,64.0,4588.06,0
Female,0,Yes,No,54,Yes,Yes,DSL,Yes,No,Yes,Two year,Yes,Bank transfer,62.36,3411.0,0
Male,0,No,No,24,Yes,No,Fiber optic,No internet service,No,Yes,One year,Yes,Electronic check,60.43,1467.3,1
Female,0,No,Yes,6,Yes,No phone service,No,No,Yes,Yes,One year,Yes,Electronic check,34.78,175.69,0
Male,0,No,Yes,34,Yes,No,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,95.97,3284.24,1
Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,No,Electronic check,78.18,5605.58,1
Female,0,No,No,7,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Month-to-month,No,Electronic check,55.69,396.02,0
Female,0,Yes,No,8,Yes,Yes,DSL,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,51.52,343.24,0
Female,0,No,No,4,Yes,No,Fiber optic,No,No internet service,No internet service,Two year,Yes,Bank transfer,53.36,125.28,0
Female,1,No,No,40,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Mailed check,56.81,2258.1,0
Male,0,Yes,Yes,15,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer,21.73,341.84,0
Female,0,Yes,No,1,Yes,Yes,DSL,No,No,Yes,One year,Yes,Bank transfer,58.73,2.34,0
